Daytime_evening_attendance;Previous_qualification_grade;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;International;Curricular_units_1st_sem_grade;Curricular_units_2nd_sem_grade;Unemployment_rate;Inflation_rate;GDP;Status;Marital_status_grouped;Application_mode_grouped;Course_grouped;Previous_qualification_grouped;Nationality_grouped;Mothers_qualification_grouped;Fathers_qualification_grouped;Mothers_occupation_grouped;Fathers_occupation_grouped;Application_order_grouped;Age_at_enrollment_grouped;Curricular_units_1st_sem_credited_grouped;Curricular_units_1st_sem_enrolled_grouped;Curricular_units_1st_sem_evaluations_grouped;Curricular_units_1st_sem_approved_grouped;Curricular_units_1st_sem_without_evaluations_grouped;Curricular_units_2nd_sem_credited_grouped;Curricular_units_2nd_sem_enrolled_grouped;Curricular_units_2nd_sem_evaluations_grouped;Curricular_units_2nd_sem_approved_grouped;Curricular_units_2nd_sem_without_evaluations_grouped
1;143.0;128.7;1;0;0;1;1;0;0;14.0;13.8;11.1;0.6;2.02;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;3+;17-24;0;5-8;6-10;0-4;0;0;5-8;0-5;5-8;0
1;115.0;112.2;1;0;1;1;1;0;0;10.0;0.0;15.5;2.8;-4.06;Enrolled;single;others;nature_and_engineering_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;2-3;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;0
1;130.0;137.0;1;0;0;1;1;0;1;14.0;13.25;13.9;-0.3;0.79;Enrolled;single;others;nature_and_engineering_course;school_edu;others;school_edu_degree;higher_edu_degree;unskilled_worker;professional_or_expert;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;11+;0-4;0
1;135.0;134.3;1;0;0;1;0;0;0;14.2;13.8;12.7;3.7;-1.7;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;higher_edu_degree;unskilled_worker;professional_or_expert;0-1;17-24;0;5-8;6-10;5-8;1+;0;5-8;6-10;5-8;0
1;133.1;107.0;1;0;0;1;0;0;0;11.666666666666666;13.0;16.2;0.3;-0.92;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;inter_tech_or_prof_personnel;2-3;17-24;0;5-8;11+;5-8;0;0;5-8;6-10;0-4;0
1;123.0;115.3;1;0;0;1;0;1;0;13.0;11.0;8.9;1.4;3.51;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;2-3;17-24;0;5-8;6-10;0-4;0;0;5-8;11+;0-4;0
1;130.0;100.0;0;0;0;1;0;0;0;11.616666666666667;13.0;13.9;-0.3;0.79;Enrolled;single;others;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;services_or_seller;0-1;17-24;0;5-8;11+;5-8;0;0;5-8;6-10;5-8;0
1;154.0;140.4;1;0;0;1;0;1;0;10.0;10.75;7.6;2.6;0.32;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;120.0;113.4;0;0;0;1;0;0;0;10.333333333333334;10.666666666666666;12.4;0.5;1.79;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;6-10;0-4;0
1;146.0;145.3;1;0;0;1;0;1;0;12.8;13.4;9.4;-0.8;-3.12;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;117.0;112.1;0;0;0;1;0;1;0;13.188;12.892857142857142;11.1;0.6;2.02;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;99.0;99.7;1;0;1;0;0;0;0;0.0;0.0;8.9;1.4;3.51;Enrolled;single;others;business_and_management_course;school_edu;portuguese;higher_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;0
1;136.0;121.7;1;0;0;1;0;0;0;0.0;0.0;9.4;-0.8;-3.12;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;higher_edu_degree;school_edu_degree;professional_or_expert;machine_opt_and_installer;0-1;17-24;0;0-4;0-5;0-4;0;0;0-4;0-5;0-4;0
1;138.0;124.7;1;0;0;1;0;0;0;12.333333333333334;10.833333333333334;9.4;-0.8;-3.12;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;6-10;5-8;0
1;170.0;170.0;0;0;1;1;0;0;0;0.0;0.0;8.9;1.4;3.51;Enrolled;others;others;nature_and_engineering_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;31+;0;0-4;0-5;0-4;0;0;5-8;0-5;0-4;0
1;130.0;130.0;1;0;0;1;0;0;0;11.25;10.5;12.7;3.7;-1.7;Enrolled;single;others;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;0-1;25-30;0;5-8;11+;0-4;1+;0;5-8;11+;0-4;0
1;131.0;123.0;1;0;0;1;0;1;0;11.666666666666666;13.5;7.6;2.6;0.32;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;0
0;140.0;140.0;0;0;0;1;0;1;0;12.666666666666666;13.166666666666666;9.4;-0.8;-3.12;Enrolled;single;others;business_and_management_course;vocational_professional;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;machine_opt_and_installer;0-1;25-30;1+;5-8;6-10;5-8;0;1+;5-8;6-10;5-8;1+
1;143.0;126.6;0;0;1;0;0;0;0;11.5;10.0;9.4;-0.8;-3.12;Enrolled;single;others;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;unskilled_worker;0-1;17-24;1+;9+;11+;5-8;0;0;5-8;11+;0-4;0
0;120.0;122.8;0;0;0;1;0;0;0;10.0;10.0;9.4;-0.8;-3.12;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;120.0;105.9;0;0;0;1;0;0;0;11.816666666666668;11.333333333333334;11.1;0.6;2.02;Enrolled;single;others;health_course;school_edu;portuguese;school_edu_degree;higher_edu_degree;skilled_worker;professional_or_expert;0-1;31+;0;0-4;0-5;0-4;0;0;0-4;0-5;0-4;0
1;130.0;145.0;0;0;0;1;0;0;0;12.125;13.3125;15.5;2.8;-4.06;Enrolled;single;others;health_course;higher_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;services_or_seller;0-1;25-30;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;125.0;119.4;1;0;0;1;0;0;0;12.471428571428572;11.4625;12.4;0.5;1.79;Enrolled;single;general;health_course;school_edu;portuguese;higher_edu_degree;school_edu_degree;administration_or_office;administration_or_office;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;145.0;155.0;1;0;0;1;0;0;0;12.909090909090908;13.555555555555555;12.4;0.5;1.79;Enrolled;single;others;design_and_communication_course;school_edu;portuguese;higher_edu_degree;higher_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;0-1;17-24;1+;9+;11+;9+;0;1+;9+;11+;9+;0
1;125.0;125.4;1;0;0;1;0;0;0;12.4;12.4;9.4;-0.8;-3.12;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;127.0;123.2;1;0;0;1;0;0;0;11.0;0.0;9.4;-0.8;-3.12;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;machine_opt_and_installer;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;116.0;110.8;0;0;0;1;0;0;0;11.833333333333334;12.5;7.6;2.6;0.32;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;143.0;142.3;0;0;0;1;0;1;0;13.79714285714286;13.775;12.4;0.5;1.79;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;123.0;113.9;0;0;0;1;0;0;0;12.5;12.333333333333334;15.5;2.8;-4.06;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;higher_edu_degree;school_edu_degree;professional_or_expert;unskilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;140.0;140.0;0;0;0;1;0;0;0;11.428571428571429;13.0;12.4;0.5;1.79;Enrolled;single;others;nature_and_engineering_course;vocational_professional;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;administration_or_office;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;11+;5-8;0
1;119.0;115.5;1;0;0;1;0;0;0;11.0;11.0;10.8;1.4;1.74;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;armed_forces;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;0
1;160.0;147.8;0;0;0;1;0;0;0;11.757142857142856;13.083333333333334;15.5;2.8;-4.06;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;17-24;0;5-8;11+;5-8;0;0;5-8;11+;5-8;0
1;141.0;128.8;1;0;0;1;0;0;0;10.333333333333334;13.0;7.6;2.6;0.32;Enrolled;single;others;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;services_or_seller;2-3;17-24;0;5-8;6-10;0-4;1+;0;5-8;6-10;0-4;0
1;132.0;125.0;1;0;0;1;0;0;0;12.6;11.4;9.4;-0.8;-3.12;Enrolled;single;general;others;school_edu;portuguese;higher_edu_degree;school_edu_degree;administration_or_office;administration_or_office;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;135.0;136.8;1;0;0;1;0;0;0;14.0;11.6;9.4;-0.8;-3.12;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;services_or_seller;0-1;17-24;0;5-8;11+;5-8;1+;0;5-8;6-10;5-8;0
1;123.0;121.6;1;0;0;1;0;0;0;12.0;12.666666666666666;11.1;0.6;2.02;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;0-1;17-24;0;5-8;11+;5-8;0;0;5-8;6-10;5-8;0
1;129.0;125.9;1;0;0;1;0;0;0;12.0;12.0;9.4;-0.8;-3.12;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;higher_edu_degree;inter_tech_or_prof_personnel;professional_or_expert;0-1;17-24;0;5-8;11+;0-4;1+;0;5-8;6-10;0-4;0
1;130.0;130.0;1;0;0;1;0;0;0;13.0;12.0;9.4;-0.8;-3.12;Enrolled;single;others;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;professional_or_expert;0-1;25-30;1+;5-8;0-5;0-4;0;1+;5-8;6-10;0-4;0
1;110.0;110.0;0;0;0;1;0;0;0;10.692307692307692;12.307692307692308;15.5;2.8;-4.06;Enrolled;single;others;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;31+;1+;9+;11+;9+;1+;1+;9+;11+;9+;0
0;96.0;100.0;0;0;0;1;0;0;0;12.0;11.25;9.4;-0.8;-3.12;Enrolled;single;general;social_services_course;school_edu;portuguese;higher_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;unskilled_worker;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;0-4;0
1;133.1;130.0;0;0;1;1;0;1;0;0.0;0.0;11.1;0.6;2.02;Enrolled;single;others;nature_and_engineering_course;school_edu;portuguese;school_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;machine_opt_and_installer;0-1;25-30;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;0
1;112.0;112.0;1;0;0;1;0;0;0;10.333333333333334;11.0;16.2;0.3;-0.92;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;armed_forces;3+;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;1+
1;136.0;133.0;1;0;0;1;0;0;0;13.98;13.98;7.6;2.6;0.32;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;professional_or_expert;3+;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;134.0;131.2;0;0;0;1;0;0;0;11.0;11.2;7.6;2.6;0.32;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;professional_or_expert;skilled_worker;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;5-8;0
0;130.0;148.0;0;0;0;1;0;1;0;11.25;10.833333333333334;13.9;-0.3;0.79;Enrolled;others;others;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;0-1;31+;0;5-8;11+;0-4;0;0;5-8;6-10;0-4;0
0;133.1;104.0;0;0;1;1;0;0;0;11.9;12.8;11.1;0.6;2.02;Enrolled;married;others;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;31+;1+;9+;11+;9+;0;1+;9+;11+;9+;0
1;125.0;116.6;1;0;0;0;0;1;0;12.285714285714286;13.333333333333334;8.9;1.4;3.51;Enrolled;single;general;others;school_edu;portuguese;higher_edu_degree;higher_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;140.0;140.0;1;0;0;1;0;0;0;12.666666666666666;13.5;16.2;0.3;-0.92;Enrolled;single;others;health_course;vocational_professional;portuguese;school_edu_degree;school_edu_degree;services_or_seller;skilled_worker;0-1;17-24;1+;5-8;11+;5-8;0;1+;5-8;11+;0-4;0
1;170.0;100.0;0;0;0;1;0;0;0;13.25;13.75;13.9;-0.3;0.79;Enrolled;single;others;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;others;machine_opt_and_installer;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;135.0;121.0;0;0;0;1;0;0;0;10.333333333333334;10.333333333333334;7.6;2.6;0.32;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;skilled_worker;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;134.0;122.5;1;0;0;1;0;0;0;13.166666666666666;12.4;15.5;2.8;-4.06;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;services_or_seller;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;140.0;140.0;1;0;0;1;0;0;0;12.75;11.0;12.4;0.5;1.79;Enrolled;single;others;health_course;vocational_professional;portuguese;higher_edu_degree;school_edu_degree;administration_or_office;services_or_seller;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;150.0;140.0;0;1;0;1;0;0;0;11.2;12.14;16.2;0.3;-0.92;Enrolled;single;others;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;inter_tech_or_prof_personnel;0-1;25-30;0;5-8;11+;5-8;0;0;5-8;11+;5-8;0
1;125.0;128.9;0;0;0;1;0;1;0;11.6;11.2;8.9;1.4;3.51;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;higher_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;3+;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;0-4;0
1;136.0;121.7;1;0;0;1;0;0;0;10.333333333333334;10.333333333333334;10.8;1.4;1.74;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;120.0;114.8;1;1;0;1;0;0;0;12.25;11.0;7.6;2.6;0.32;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;128.0;127.0;0;0;0;1;0;0;0;12.0;12.75;12.4;0.5;1.79;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;0-4;0
1;116.0;112.2;1;0;0;1;0;0;0;11.333333333333334;10.666666666666666;10.8;1.4;1.74;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;higher_edu_degree;unskilled_worker;professional_or_expert;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;11+;0-4;0
1;122.0;118.2;0;0;0;1;0;1;0;11.25;10.5;12.4;0.5;1.79;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;services_or_seller;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;5-8;0
1;147.0;100.0;0;0;0;1;0;0;0;0.0;16.0;10.8;1.4;1.74;Enrolled;single;others;health_course;school_edu;portuguese;higher_edu_degree;higher_edu_degree;inter_tech_or_prof_personnel;professional_or_expert;0-1;17-24;0;0-4;0-5;0-4;0;0;0-4;0-5;0-4;0
1;127.0;120.7;1;0;1;1;0;0;0;12.0;12.0;12.7;3.7;-1.7;Enrolled;single;others;nature_and_engineering_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;services_or_seller;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;6-10;0-4;0
1;122.0;114.3;1;0;0;1;0;1;0;12.8;12.8;12.4;0.5;1.79;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;armed_forces;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;131.0;132.4;1;0;0;1;0;0;0;11.8;11.25;9.4;-0.8;-3.12;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;2-3;17-24;0;5-8;0-5;5-8;0;0;5-8;6-10;0-4;0
1;148.0;129.8;0;0;0;1;0;0;0;10.6;10.4;15.5;2.8;-4.06;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;unskilled_worker;0-1;17-24;0;5-8;11+;5-8;0;0;5-8;11+;0-4;0
1;133.0;131.3;1;0;0;1;0;0;0;14.333333333333334;12.625;15.5;2.8;-4.06;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;armed_forces;0-1;17-24;0;5-8;6-10;5-8;0;1+;5-8;6-10;5-8;0
1;128.0;118.6;1;0;0;1;0;1;0;13.2;11.8;8.9;1.4;3.51;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;140.0;140.0;0;0;0;1;0;0;0;12.666666666666666;13.0;13.9;-0.3;0.79;Enrolled;single;others;health_course;vocational_professional;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;0-1;17-24;1+;5-8;6-10;5-8;0;1+;5-8;11+;0-4;0
1;101.0;101.0;1;0;1;1;0;0;0;13.333333333333334;11.4;12.4;0.5;1.79;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;administration_or_office;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;11+;0-4;0
1;126.0;116.9;1;1;0;1;0;0;0;10.666666666666666;12.833333333333334;13.9;-0.3;0.79;Enrolled;single;general;others;school_edu;portuguese;higher_edu_degree;school_edu_degree;professional_or_expert;services_or_seller;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;11+;5-8;0
1;134.0;120.4;1;0;0;1;0;0;0;11.333333333333334;12.6;9.4;-0.8;-3.12;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;2-3;17-24;0;5-8;11+;0-4;1+;0;5-8;6-10;5-8;0
1;125.0;132.0;0;0;0;0;0;0;0;12.2;10.833333333333334;13.9;-0.3;0.79;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;administration_or_office;0-1;17-24;1+;5-8;6-10;5-8;1+;0;5-8;11+;0-4;0
